Q.No,Question,OptionA,OptionB,OptionC,OptionD,Answer,Method,Level
28,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
29,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
30,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
31,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
32,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
33,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
34,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
35,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
36,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
37,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
38,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
39,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
40,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
41,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
42,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
43,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
44,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
45,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
46,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
47,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
48,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
49,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
50,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
51,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
52,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
53,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
54,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
55,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
56,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
57,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
58,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
59,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
60,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
61,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
62,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
63,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
64,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
65,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
66,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
67,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
68,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
69,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
70,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
71,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
72,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
73,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
74,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
75,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
76,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
77,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
78,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
79,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
80,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
81,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
82,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
83,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
84,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
85,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
86,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
87,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
88,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
89,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
90,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
91,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
92,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
93,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
94,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
95,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
96,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
97,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
98,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
99,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
100,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
101,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
102,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
103,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
104,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
105,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
106,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
107,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
108,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
109,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
110,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
111,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
112,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
113,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
114,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
115,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
116,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
117,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
118,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
119,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
120,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
121,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
122,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
123,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
124,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
125,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
126,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
127,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
128,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
129,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
130,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
131,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
132,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
133,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
134,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
135,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
136,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
137,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
138,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
139,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
140,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
141,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
142,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
143,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
144,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
145,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
146,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
147,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
148,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
149,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
150,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
151,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
152,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
153,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
154,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
155,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
156,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
157,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
158,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
159,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
160,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
161,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
162,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
163,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
164,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
165,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
166,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
167,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
168,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
169,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
170,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
171,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
172,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
173,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
174,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
175,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
176,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
177,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
178,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
179,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
180,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
181,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
182,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
183,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
184,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
185,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
186,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
187,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
188,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
189,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
190,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
191,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
192,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
193,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
194,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
195,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
196,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
197,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
198,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
199,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
200,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
201,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
202,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
203,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
204,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
205,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
206,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
207,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
208,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
209,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
210,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
211,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
212,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
213,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
214,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
215,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
216,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
217,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
218,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
219,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
220,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
221,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
222,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
223,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
224,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
225,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
226,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
227,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
228,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
229,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
230,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
231,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
232,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
